Symbol,Timeframe,Quantity,OPTION CONTRACT TYPE,strike distance,RSI_PERIOD,RSI_BUY_VALUE,RSI_SELL_VALUE,ATR_PERIOD,SUPERTREND_PERIOD,SUPERTREND_MULTIPLIER,RSI_EXIT_BUY,RSI_EXIT_SELL,PRODUCT_TYPE,Sync
NIFTY,1m,50,ATM,100,14,60,40,14,10,2,80,20,D,TRUE
BANKNIFTY,1m,15,ATM,100,14,60,40,14,10,2,80,20,D,FALSE
