15/03/2024 14:29:31 Sell order executed @ NIFTY @ 22074.2, option contract= NIFTY21MAR24P22050
15/03/2024 14:29:32 Sell order executed @ NIFTY @ 22074.1, option contract= NIFTY21MAR24P22050
15/03/2024 14:29:33 Sell order executed @ NIFTY @ 22074.1, option contract= NIFTY21MAR24P22050
15/03/2024 14:29:35 Sell order executed @ NIFTY @ 22074.85, option contract= NIFTY21MAR24P22050
15/03/2024 14:29:36 Sell order executed @ NIFTY @ 22076.75, option contract= NIFTY21MAR24P22100
15/03/2024 14:29:38 Sell order executed @ NIFTY @ 22078.0, option contract= NIFTY21MAR24P22100
15/03/2024 14:29:39 Sell order executed @ NIFTY @ 22078.0, option contract= NIFTY21MAR24P22100
15/03/2024 14:29:40 Sell order executed @ NIFTY @ 22077.85, option contract= NIFTY21MAR24P22100
15/03/2024 14:29:42 Sell order executed @ NIFTY @ 22078.0, option contract= NIFTY21MAR24P22100
15/03/2024 14:29:43 Sell order executed @ NIFTY @ 22078.35, option contract= NIFTY21MAR24P22100
15/03/2024 14:29:45 Sell order executed @ NIFTY @ 22078.35, option contract= NIFTY21MAR24P22100
15/03/2024 14:29:46 Sell order executed @ NIFTY @ 22078.45, option contract= NIFTY21MAR24P22100
15/03/2024 14:29:48 Sell order executed @ NIFTY @ 22079.95, option contract= NIFTY21MAR24P22100
15/03/2024 14:29:49 Sell order executed @ NIFTY @ 22080.0, option contract= NIFTY21MAR24P22100
15/03/2024 14:29:51 Sell order executed @ NIFTY @ 22080.45, option contract= NIFTY21MAR24P22100
15/03/2024 14:29:52 Sell order executed @ NIFTY @ 22080.55, option contract= NIFTY21MAR24P22100
15/03/2024 14:29:54 Sell order executed @ NIFTY @ 22080.2, option contract= NIFTY21MAR24P22100
15/03/2024 14:29:55 Sell order executed @ NIFTY @ 22080.2, option contract= NIFTY21MAR24P22100
15/03/2024 14:29:56 Sell order executed @ NIFTY @ 22080.05, option contract= NIFTY21MAR24P22100
15/03/2024 14:29:58 Sell order executed @ NIFTY @ 22081.45, option contract= NIFTY21MAR24P22100
15/03/2024 14:29:59 Sell order executed @ NIFTY @ 22082.15, option contract= NIFTY21MAR24P22100
