Datetime,Open,High,Low,Close,Volume,RSI,VWAP,Supertrend Values,Supertrend Signal,ATR_VALUE
2024-03-06 09:15:00,47705.3,47812.1,47705.3,47760.0,125085,,47759.13333333333,0.0,1,
2024-03-06 09:20:00,47765.75,47847.5,47765.0,47800.0,67800,,47774.96276537833,,1,
2024-03-06 09:25:00,47803.75,47863.9,47797.05,47829.0,46530,,47785.655942610116,,1,
2024-03-06 09:30:00,47817.1,47894.75,47752.45,47876.2,54390,,47795.92607171423,,1,
2024-03-06 09:35:00,47875.7,47876.9,47796.45,47863.8,36870,,47801.47768352612,,1,
2024-03-06 09:40:00,47869.0,48150.0,47845.1,48142.25,257940,,47908.53611613703,47524.20468824369,1,
2024-03-06 09:45:00,48168.0,48170.0,48064.05,48075.75,92190,,47934.90520780547,47685.827563101746,1,
2024-03-06 09:50:00,48062.4,48199.0,48062.4,48087.4,103230,,47958.78417162499,47704.917683549014,1,
2024-03-06 09:55:00,48080.0,48109.75,47981.1,47990.75,84840,,47965.46453287297,47704.917683549014,1,
2024-03-06 10:00:00,47989.05,48075.0,47976.15,48031.0,64680,,47969.754486880796,47704.917683549014,1,
2024-03-06 10:05:00,48041.05,48240.0,48029.85,48151.05,119970,,47989.17533138749,47704.917683549014,1,
2024-03-06 10:10:00,48158.1,48273.4,48150.0,48227.85,91500,,48007.38766926486,47784.81299079682,1,
2024-03-06 10:15:00,48225.4,48344.95,48205.55,48276.0,170115,,48042.06833378956,47850.22859605457,1,
2024-03-06 10:20:00,48277.75,48280.05,48162.95,48201.4,87645,,48052.86048432226,47850.22859605457,1,
2024-03-06 10:25:00,48193.6,48193.6,48117.0,48150.3,48435,65.00651507061072,48056.22381513485,47850.22859605457,1,130.2792804713245
2024-03-06 10:30:00,48151.25,48174.6,48113.75,48135.0,35475,63.3822533155755,48058.24949888847,47850.22859605457,1,122.88818678207413
2024-03-06 10:35:00,48140.2,48162.95,48106.6,48132.55,25710,63.110322222522804,48059.537779728314,47850.22859605457,1,116.04457181150788
2024-03-06 10:40:00,48132.65,48209.2,48124.5,48190.65,33915,66.75313328901304,48062.06542791919,47874.62880521767,1,112.91892595908908
2024-03-06 10:45:00,48200.0,48200.0,48126.05,48139.45,25155,61.03337491404364,48063.55572312636,47885.136234262565,1,109.13989788898859
2024-03-06 10:50:00,48139.15,48173.9,48093.75,48108.8,27480,57.83839967665451,48064.6200249538,47885.136234262565,1,106.39862127116741
2024-03-06 10:55:00,48110.1,48155.45,48105.05,48137.55,14355,59.95593341888045,48065.22564246797,47885.136234262565,1,101.2231225692466
2024-03-06 11:00:00,48144.55,48264.45,48139.35,48230.2,50040,65.89972289369823,48069.62112679231,47928.55324459351,1,103.54743323594637
2024-03-06 11:05:00,48227.85,48244.45,48140.2,48158.45,30375,58.64059010437535,48071.6191759288,47928.55324459351,1,103.60983915166351
2024-03-06 11:10:00,48152.4,48199.75,48150.0,48182.1,26115,60.19695481574276,48073.223638826865,47928.55324459351,1,98.90751302984937
2024-03-06 11:15:00,48181.7,48194.35,48145.45,48152.1,27495,57.25378038247175,48074.651515879894,47936.884922194375,1,94.60976124167823
2024-03-06 11:20:00,48150.0,48182.75,48141.85,48171.85,16650,58.68587135209752,48075.5088643044,47951.43160555969,1,90.05986552759431
2024-03-06 11:25:00,48166.85,48242.0,48145.7,48242.0,26910,63.37886486750957,48077.5282263896,47967.327974250096,1,90.5815536566752
2024-03-06 11:30:00,48234.85,48236.5,48159.85,48162.15,29055,55.63228217467994,48079.262609137615,47967.65771946675,1,89.8851361917279
2024-03-06 11:35:00,48163.7,48186.75,48145.3,48145.75,22095,54.167877409239956,48080.22224348482,47967.65771946675,1,85.92874476827117
2024-03-06 11:40:00,48149.65,48180.65,48119.75,48155.05,37830,54.892984470665674,48081.66298663475,47967.65771946675,1,83.90504322239276
2024-03-06 11:45:00,48155.3,48168.45,48117.15,48168.45,27930,55.97379592621525,48082.683194823374,47967.65771946675,1,81.29337826457748
2024-03-06 11:50:00,48169.0,48195.8,48146.85,48154.65,14055,54.524826864746565,48083.29080318025,47986.83766774636,1,78.72494474412328
2024-03-06 11:55:00,48166.7,48173.2,48143.45,48153.0,9195,54.343687434551015,48083.63963752974,47992.900237120535,1,74.86657571804322
2024-03-06 12:00:00,48151.95,48172.5,48085.2,48115.0,45990,50.20687149492379,48084.583927654654,47992.900237120535,1,75.83896121642151
2024-03-06 12:05:00,48107.95,48158.8,48107.95,48147.95,26325,53.51147505670977,48085.28890007837,47992.900237120535,1,73.89779887126562
2024-03-06 12:10:00,48147.65,48194.15,48143.05,48193.1,21195,57.65820921114272,48086.24657309101,47995.30813012799,1,72.13785134001029
2024-03-06 12:15:00,48190.25,48218.55,48147.15,48216.35,17145,59.65398153688648,48087.15155874243,48001.373848151045,1,72.08121734678708
2024-03-06 12:20:00,48221.0,48222.9,48164.3,48192.4,25830,56.68974068300007,48088.47643334591,48013.25937332003,1,71.05194524859068
2024-03-06 12:25:00,48192.65,48233.95,48181.0,48224.65,41280,59.60082906077077,48090.91788820288,48031.43339152716,1,69.67665351213408
2024-03-06 12:30:00,48218.15,48246.5,48205.4,48212.0,67860,57.95530848143884,48094.98267039712,48060.45846615355,1,67.51537355242124
2024-03-06 12:35:00,48209.7,48253.0,48187.25,48225.1,36375,59.2112147896389,48097.066836454585,48060.45846615355,1,67.38241538515105
2024-03-06 12:40:00,48228.45,48259.45,48200.4,48213.65,53085,57.591917879781974,48100.05199601525,48060.45846615355,1,66.75729312528615
2024-03-06 12:45:00,48211.8,48221.5,48172.0,48200.0,69195,55.63843647693065,48102.94921617241,48060.45846615355,1,65.46723727074783
