Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,ASTRAL,35143,FUTSTK,XX,-1,ASTRAL LIMITED,ASTRAL JUL FUT,ASTRAL25JUL24F,2024-07-25,367,0.05
NFO,nse_fo,FINNIFTY,35152,FUTIDX,XX,-1,FINNIFTY,FINNIFTY JUN FUT,FINNIFTY25JUN24F,2024-06-25,40,0.05
NFO,nse_fo,BANKNIFTY,35165,FUTIDX,XX,-1,BANKNIFTY,BANKNIFTY JUL FUT,BANKNIFTY31JUL24F,2024-07-31,15,0.05
NFO,nse_fo,ATUL,35185,FUTSTK,XX,-1,ATUL LTD,ATUL JUL FUT,ATUL25JUL24F,2024-07-25,100,0.05
NFO,nse_fo,AUBANK,35190,FUTSTK,XX,-1,AU SMALL FINANCE BANK LTD,AUBANK JUL FUT,AUBANK25JUL24F,2024-07-25,1000,0.05
NFO,nse_fo,AUROPHARMA,35191,FUTSTK,XX,-1,AUROBINDO PHARMA LTD,AUROPHARMA JUL FUT,AUROPHARMA25JUL24F,2024-07-25,550,0.05
NFO,nse_fo,AXISBANK,35192,FUTSTK,XX,-1,AXIS BANK LIMITED,AXISBANK JUL FUT,AXISBANK25JUL24F,2024-07-25,625,0.05
NFO,nse_fo,BAJAJ-AUTO,35193,FUTSTK,XX,-1,BAJAJ AUTO LIMITED,BAJAJ-AUTO JUL FUT,BAJAJ-AUTO25JUL24F,2024-07-25,75,0.05
NFO,nse_fo,BAJAJFINSV,35195,FUTSTK,XX,-1,BAJAJ FINSERV LTD.,BAJAJFINSV JUL FUT,BAJAJFINSV25JUL24F,2024-07-25,500,0.05
NFO,nse_fo,AMBUJACEM,35200,FUTSTK,XX,-1,AMBUJA CEMENTS LTD,AMBUJACEM JUN FUT,AMBUJACEM27JUN24F,2024-06-27,900,0.05
NFO,nse_fo,APOLLOHOSP,35201,FUTSTK,XX,-1,APOLLO HOSPITALS ENTER. L,APOLLOHOSP JUN FUT,APOLLOHOSP27JUN24F,2024-06-27,125,0.05
NFO,nse_fo,APOLLOTYRE,35203,FUTSTK,XX,-1,APOLLO TYRES LTD,APOLLOTYRE JUN FUT,APOLLOTYRE27JUN24F,2024-06-27,1700,0.05
NFO,nse_fo,ASHOKLEY,35210,FUTSTK,XX,-1,ASHOK LEYLAND LTD,ASHOKLEY JUN FUT,ASHOKLEY27JUN24F,2024-06-27,5000,0.05
NFO,nse_fo,ASIANPAINT,35213,FUTSTK,XX,-1,ASIAN PAINTS LIMITED,ASIANPAINT JUN FUT,ASIANPAINT27JUN24F,2024-06-27,200,0.05
NFO,nse_fo,ASTRAL,35216,FUTSTK,XX,-1,ASTRAL LIMITED,ASTRAL JUN FUT,ASTRAL27JUN24F,2024-06-27,367,0.05
NFO,nse_fo,ATUL,35223,FUTSTK,XX,-1,ATUL LTD,ATUL JUN FUT,ATUL27JUN24F,2024-06-27,75,0.05
NFO,nse_fo,AUBANK,35232,FUTSTK,XX,-1,AU SMALL FINANCE BANK LTD,AUBANK JUN FUT,AUBANK27JUN24F,2024-06-27,1000,0.05
NFO,nse_fo,NIFTYNXT50,35236,FUTIDX,XX,-1,NIFTYNXT50,NIFTYNXT50 MAY FUT,NIFTYNXT5031MAY24F,2024-05-31,10,0.05
NFO,nse_fo,NIFTYNXT50,35238,FUTIDX,XX,-1,NIFTYNXT50,NIFTYNXT50 JUN FUT,NIFTYNXT5028JUN24F,2024-06-28,10,0.05
NFO,nse_fo,NIFTYNXT50,35239,FUTIDX,XX,-1,NIFTYNXT50,NIFTYNXT50 JUL FUT,NIFTYNXT5026JUL24F,2024-07-26,10,0.05
NFO,nse_fo,BAJFINANCE,35302,FUTSTK,XX,-1,BAJAJ FINANCE LIMITED,BAJFINANCE JUL FUT,BAJFINANCE25JUL24F,2024-07-25,125,0.05
NFO,nse_fo,BALKRISIND,35303,FUTSTK,XX,-1,BALKRISHNA IND. LTD,BALKRISIND JUL FUT,BALKRISIND25JUL24F,2024-07-25,300,0.05
NFO,nse_fo,BALRAMCHIN,35338,FUTSTK,XX,-1,BALRAMPUR CHINI MILLS LTD,BALRAMCHIN JUL FUT,BALRAMCHIN25JUL24F,2024-07-25,1600,0.05
NFO,nse_fo,BANDHANBNK,35341,FUTSTK,XX,-1,BANDHAN BANK LIMITED,BANDHANBNK JUL FUT,BANDHANBNK25JUL24F,2024-07-25,2800,0.05
NFO,nse_fo,BANKNIFTY,35349,OPTIDX,CE,41500,BANKNIFTY,BANKNIFTY 5th JUN 41500 CE,BANKNIFTY05JUN24C41500,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35356,OPTIDX,PE,41500,BANKNIFTY,BANKNIFTY 5th JUN 41500 PE,BANKNIFTY05JUN24P41500,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35357,OPTIDX,CE,42000,BANKNIFTY,BANKNIFTY 5th JUN 42000 CE,BANKNIFTY05JUN24C42000,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35358,OPTIDX,PE,42000,BANKNIFTY,BANKNIFTY 5th JUN 42000 PE,BANKNIFTY05JUN24P42000,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35359,OPTIDX,CE,42500,BANKNIFTY,BANKNIFTY 5th JUN 42500 CE,BANKNIFTY05JUN24C42500,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35361,OPTIDX,PE,42500,BANKNIFTY,BANKNIFTY 5th JUN 42500 PE,BANKNIFTY05JUN24P42500,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35362,OPTIDX,CE,43000,BANKNIFTY,BANKNIFTY 5th JUN 43000 CE,BANKNIFTY05JUN24C43000,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35363,OPTIDX,CE,39500,BANKNIFTY,BANKNIFTY 26th JUN 39500 CE,BANKNIFTY26JUN24C39500,2024-06-26,15,0.05
NFO,nse_fo,BANKNIFTY,35364,OPTIDX,PE,39500,BANKNIFTY,BANKNIFTY 26th JUN 39500 PE,BANKNIFTY26JUN24P39500,2024-06-26,15,0.05
NFO,nse_fo,BANKNIFTY,35365,OPTIDX,CE,40000,BANKNIFTY,BANKNIFTY 26th JUN 40000 CE,BANKNIFTY26JUN24C40000,2024-06-26,15,0.05
NFO,nse_fo,BANKNIFTY,35366,OPTIDX,PE,40000,BANKNIFTY,BANKNIFTY 26th JUN 40000 PE,BANKNIFTY26JUN24P40000,2024-06-26,15,0.05
NFO,nse_fo,BANKNIFTY,35367,OPTIDX,PE,43000,BANKNIFTY,BANKNIFTY 5th JUN 43000 PE,BANKNIFTY05JUN24P43000,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35374,OPTIDX,CE,43500,BANKNIFTY,BANKNIFTY 5th JUN 43500 CE,BANKNIFTY05JUN24C43500,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35375,OPTIDX,PE,43500,BANKNIFTY,BANKNIFTY 5th JUN 43500 PE,BANKNIFTY05JUN24P43500,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35392,OPTIDX,CE,44000,BANKNIFTY,BANKNIFTY 5th JUN 44000 CE,BANKNIFTY05JUN24C44000,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35395,OPTIDX,PE,44000,BANKNIFTY,BANKNIFTY 5th JUN 44000 PE,BANKNIFTY05JUN24P44000,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35398,OPTIDX,CE,41000,BANKNIFTY,BANKNIFTY 26th JUN 41000 CE,BANKNIFTY26JUN24C41000,2024-06-26,15,0.05
NFO,nse_fo,BANKBARODA,35399,FUTSTK,XX,-1,BANK OF BARODA,BANKBARODA JUL FUT,BANKBARODA25JUL24F,2024-07-25,2925,0.05
NFO,nse_fo,BATAINDIA,35402,FUTSTK,XX,-1,BATA INDIA LTD,BATAINDIA JUL FUT,BATAINDIA25JUL24F,2024-07-25,375,0.05
NFO,nse_fo,BEL,35403,FUTSTK,XX,-1,BHARAT ELECTRONICS LTD,BEL JUL FUT,BEL25JUL24F,2024-07-25,2850,0.05
NFO,nse_fo,BANKNIFTY,35412,OPTIDX,CE,44500,BANKNIFTY,BANKNIFTY 5th JUN 44500 CE,BANKNIFTY05JUN24C44500,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35413,OPTIDX,PE,44500,BANKNIFTY,BANKNIFTY 5th JUN 44500 PE,BANKNIFTY05JUN24P44500,2024-06-05,15,0.05
NFO,nse_fo,BERGEPAINT,35414,FUTSTK,XX,-1,BERGER PAINTS (I) LTD,BERGEPAINT JUL FUT,BERGEPAINT25JUL24F,2024-07-25,1320,0.05
NFO,nse_fo,BANKNIFTY,35424,OPTIDX,CE,45000,BANKNIFTY,BANKNIFTY 5th JUN 45000 CE,BANKNIFTY05JUN24C45000,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35425,OPTIDX,PE,45000,BANKNIFTY,BANKNIFTY 5th JUN 45000 PE,BANKNIFTY05JUN24P45000,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35475,OPTIDX,CE,45500,BANKNIFTY,BANKNIFTY 5th JUN 45500 CE,BANKNIFTY05JUN24C45500,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35476,OPTIDX,PE,45500,BANKNIFTY,BANKNIFTY 5th JUN 45500 PE,BANKNIFTY05JUN24P45500,2024-06-05,15,0.05
NFO,nse_fo,BHARATFORG,35487,FUTSTK,XX,-1,BHARAT FORGE LTD,BHARATFORG JUL FUT,BHARATFORG25JUL24F,2024-07-25,500,0.05
NFO,nse_fo,BHARTIARTL,35492,FUTSTK,XX,-1,BHARTI AIRTEL LIMITED,BHARTIARTL JUL FUT,BHARTIARTL25JUL24F,2024-07-25,475,0.05
NFO,nse_fo,BHEL,35493,FUTSTK,XX,-1,BHEL,BHEL JUL FUT,BHEL25JUL24F,2024-07-25,2625,0.05
NFO,nse_fo,BIOCON,35494,FUTSTK,XX,-1,BIOCON LIMITED.,BIOCON JUL FUT,BIOCON25JUL24F,2024-07-25,2500,0.05
NFO,nse_fo,BOSCHLTD,35495,FUTSTK,XX,-1,BOSCH LIMITED,BOSCHLTD JUL FUT,BOSCHLTD25JUL24F,2024-07-25,25,0.05
NFO,nse_fo,BPCL,35496,FUTSTK,XX,-1,BHARAT PETROLEUM CORP  LT,BPCL JUL FUT,BPCL25JUL24F,2024-07-25,900,0.05
NFO,nse_fo,BANKNIFTY,35513,OPTIDX,CE,52200,BANKNIFTY,BANKNIFTY 29th MAY 52200 CE,BANKNIFTY29MAY24C52200,2024-05-29,15,0.05
NFO,nse_fo,BANKNIFTY,35515,OPTIDX,CE,46000,BANKNIFTY,BANKNIFTY 5th JUN 46000 CE,BANKNIFTY05JUN24C46000,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35516,OPTIDX,PE,52200,BANKNIFTY,BANKNIFTY 29th MAY 52200 PE,BANKNIFTY29MAY24P52200,2024-05-29,15,0.05
NFO,nse_fo,BANKNIFTY,35517,OPTIDX,CE,52300,BANKNIFTY,BANKNIFTY 29th MAY 52300 CE,BANKNIFTY29MAY24C52300,2024-05-29,15,0.05
NFO,nse_fo,BANKNIFTY,35518,OPTIDX,PE,46000,BANKNIFTY,BANKNIFTY 5th JUN 46000 PE,BANKNIFTY05JUN24P46000,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35521,OPTIDX,CE,46200,BANKNIFTY,BANKNIFTY 5th JUN 46200 CE,BANKNIFTY05JUN24C46200,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35522,OPTIDX,PE,52300,BANKNIFTY,BANKNIFTY 29th MAY 52300 PE,BANKNIFTY29MAY24P52300,2024-05-29,15,0.05
NFO,nse_fo,BANKNIFTY,35524,OPTIDX,PE,46200,BANKNIFTY,BANKNIFTY 5th JUN 46200 PE,BANKNIFTY05JUN24P46200,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35525,OPTIDX,CE,46300,BANKNIFTY,BANKNIFTY 5th JUN 46300 CE,BANKNIFTY05JUN24C46300,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35526,OPTIDX,PE,46300,BANKNIFTY,BANKNIFTY 5th JUN 46300 PE,BANKNIFTY05JUN24P46300,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35527,OPTIDX,CE,46400,BANKNIFTY,BANKNIFTY 5th JUN 46400 CE,BANKNIFTY05JUN24C46400,2024-06-05,15,0.05
